low_threshold,high_threshold,coverage,mosaicism,N,prop_normal,prop_mosaic,prop_aneuploid
0.2,0.3,5,0.15,5000,0.7932,0.1746,0.0322
0.2,0.3,5,0.2,5000,0.7048,0.2332,0.062
0.2,0.3,5,0.25,5000,0.6046,0.2848,0.1106
0.2,0.3,5,0.3,5000,0.4876,0.3422,0.1702
0.2,0.3,10,0,5000,0.9804,0.0192,4e-4
0.2,0.3,10,0.05,5000,0.9754,0.0238,8e-4
0.2,0.3,10,0.1,5000,0.9524,0.0472,4e-4
0.2,0.3,10,0.15,5000,0.889,0.1058,0.0052
0.2,0.3,10,0.2,5000,0.7908,0.1936,0.0156
0.2,0.3,10,0.25,5000,0.6614,0.3042,0.0344
0.2,0.3,10,0.3,5000,0.4836,0.4268,0.0896
0.2,0.3,20,0,5000,0.9986,0.0014,0
0.2,0.3,20,0.05,5000,0.9986,0.0014,0
0.2,0.3,20,0.1,5000,0.9896,0.0104,0
0.2,0.3,20,0.15,5000,0.959,0.041,0
0.2,0.3,20,0.2,5000,0.8728,0.125,0.0022
0.2,0.3,20,0.25,5000,0.7204,0.274,0.0056
0.2,0.3,20,0.3,5000,0.4836,0.4886,0.0278
0.2,0.3,50,0,5000,1,0,0
0.2,0.3,50,0.05,5000,1,0,0
0.2,0.3,50,0.1,5000,1,0,0
0.2,0.3,50,0.15,5000,0.9966,0.0034,0
0.2,0.3,50,0.2,5000,0.9634,0.0366,0
0.2,0.3,50,0.25,5000,0.8064,0.1936,0
0.2,0.3,50,0.3,5000,0.4838,0.5148,0.0014
0.2,0.4,5,0,5000,0.8932,0.1048,0.002
0.2,0.4,5,0.05,5000,0.8898,0.1092,0.001
0.2,0.4,5,0.1,5000,0.8638,0.1352,0.001
0.2,0.4,5,0.15,5000,0.7932,0.2058,0.001
0.2,0.4,5,0.2,5000,0.7048,0.2914,0.0038
0.2,0.4,5,0.25,5000,0.6046,0.3854,0.01
0.2,0.4,5,0.3,5000,0.4876,0.488,0.0244
0.2,0.4,10,0,5000,0.9804,0.0196,0
0.2,0.4,10,0.05,5000,0.9754,0.0246,0
0.2,0.4,10,0.1,5000,0.9524,0.0476,0
0.2,0.4,10,0.15,5000,0.889,0.111,0
0.2,0.4,10,0.2,5000,0.7908,0.2092,0
0.2,0.4,10,0.25,5000,0.6614,0.3384,2e-4
0.2,0.4,10,0.3,5000,0.4836,0.514,0.0024
0.2,0.4,20,0,5000,0.9986,0.0014,0
0.2,0.4,20,0.05,5000,0.9986,0.0014,0
0.2,0.4,20,0.1,5000,0.9896,0.0104,0
0.2,0.4,20,0.15,5000,0.959,0.041,0
0.2,0.4,20,0.2,5000,0.8728,0.1272,0
0.2,0.4,20,0.25,5000,0.7204,0.2796,0
0.2,0.4,20,0.3,5000,0.4836,0.5164,0
0.2,0.4,50,0,5000,1,0,0
0.2,0.4,50,0.05,5000,1,0,0
0.2,0.4,50,0.1,5000,1,0,0
0.2,0.4,50,0.15,5000,0.9966,0.0034,0
0.2,0.4,50,0.2,5000,0.9634,0.0366,0
0.2,0.4,50,0.25,5000,0.8064,0.1936,0
0.2,0.4,50,0.3,5000,0.4838,0.5162,0
